time_ms,setpoint_lux,actual_lux,pwm_duty,error
0,300.0,45.2,920,+254.8
200,300.0,98.5,850,+201.5
400,300.0,156.3,720,+143.7
600,300.0,205.8,610,+94.2
800,300.0,248.2,495,+51.8
1000,300.0,278.5,410,+21.5
1200,300.0,295.3,350,+4.7
1400,300.0,302.1,320,-2.1
1600,300.0,301.8,325,-1.8
1800,300.0,300.5,330,-0.5
2000,300.0,299.8,335,+0.2
2200,300.0,300.2,332,-0.2
2400,300.0,300.0,333,0.0
2600,300.0,299.9,334,+0.1
2800,300.0,300.1,333,-0.1
3000,300.0,300.0,333,0.0
3200,300.0,300.0,333,0.0
3400,300.0,300.0,333,0.0
3600,300.0,300.0,333,0.0
3800,300.0,300.0,333,0.0
4000,300.0,300.0,333,0.0
4200,300.0,300.0,333,0.0
4400,300.0,300.0,333,0.0
4600,300.0,300.0,333,0.0
4800,300.0,300.0,333,0.0
5000,300.0,300.0,333,0.0
